"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GCUSW8V4","journalArticle","2022","Li, Yongxiu; Wang, Xueliang; Ding, Linmin; Li, Yao; He, Rucheng; Li, Jing","Changing the calcination temperature to tune the microstructure and polishing properties of ceria octahedrons","RSC advances","","2046-2069","10.1039/d2ra02367a","","Ceria octahedrons with different microstructure and surface characteristics were prepared by calcining an octahedral CeO2 precursor self-assembled from spherical primary nanocrystals of about 5 nm at 500-900 °C. Structural characterization revealed that with the calcination temperature increasing from 500 to 700 °C, the products maintained a hierarchical structure and primary nanocrystals changed from spherical to octahedral particles. Significant fusion occurred between the primary nanocrystals and the surface of the octahedrons became smooth at the calcination temperature of 800 °C. Single crystal CeO2 octahedrons were formed when the calcination temperature reached 900 °C. The change in microstructure induced by elevated calcination temperature led to increased mechanical hardness and decreased surface chemical activity (specific surface area and surface Ce3+ concentration) of the octahedrons, which had an impact on their polishing performance. The polishing experiments on K9 glass showed that the polishing rate first increased and then decreased with the increment of calcination temperature, indicating that in addition to the mechanical hardness, the surface chemical activity of the octahedrons is also important for material removal. Owing to the best matching of chemical activity and mechanical hardness, CeO2 octahedrons calcinated at 700 °C exhibited the highest polishing rate and the best surface quality for K9 glass.","2022-06-01","2024-03-12 02:34:51","2024-07-01 23:09:39","","16554-16560","","26","12","","RSC Adv","","","","","","","","eng","","","","","PubMed","","PMID: 35754902 PMCID: PMC9168675","","/Users/school/Zotero/storage/IY8F9YL5/Li et al_2022_Changing the calcination temperature to tune the microstructure and polishing.pdf","","synthesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RMPJ5QSZ","journalArticle","2000","V. D. Kosynkin; Kosynkin, V.D.; A.A. Arzgatkina; Arzgatkina, A.A.; Е. Н. Иванов; Ivanov, E.N.; M.G. Chtoutsa; Chtoutsa, M.G.; A.I. Grabko; Grabko, A.I.; A.V. Kardapolov; Kardapolov, A.V.; Н. А. Сысина; Sysina, N.A.","The study of process production of polishing powder based on cerium dioxide","Journal of Alloys and Compounds","","","10.1016/s0925-8388(00)00651-4","","Abstract   Finely divided cerium dioxide powder is an excellent polishing agent for optical glass under intensive processing conditions. Cerium dioxide powder was produced from a mixture of rare earth carbonates by conversion to oxides, reacting with acid to separate a sediment of CeO(OH)2 from solution containing the trivalent rare earth ions, washing the sediment, and drying and annealing it to produce finely divided CeO2. Physical and chemical investigations of each stage of the processing were performed. A relation was established between the properties of CeO(OH)2 (such as degree of fineness and crystal structure) and the properties of the REE oxides that were used. It was shown that very fine REE oxides generate fine CeO(OH)2. It was also shown that to obtain CeO2 powder with high specific surface area and perfect crystal structure, the CeO(OH)2 must be annealed in two steps: (1) dehydration of intermediate CeO1.5(OH) to produce very fine powder, and (2) dehydration at 800–1050°C.","2000-05-24","2024-03-12 02:46:58","2024-07-01 23:10:52","","421-425","","","303","","","","","","","","","","","","","","","","","DOI: 10.1016/s0925-8388(00)00651-4 MAG ID: 2049245966","","/Users/school/Zotero/storage/A3PU9LW9/V. D. Kosynkin et al_2000_The study of process production of polishing powder based on cerium dioxide.pdf","","synthesis; Exported; Highlighted_box","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MIIGBQ4","journalArticle","2022","Yuanyuan Zheng; Yuanyuan Zheng; Ning Wang; Ning Wang; Zongyu Feng; Zongyu Feng; Xianmin Tan; Xianmin Tan; Zhenyu Zhang; Zhenyu Zhang; Huiqing Han; Huiqing Han; Xiaowei Huang; Xiaowei Huang","The Effects of Precursors on the Morphology and Chemical Mechanical Polishing Performance of Ceria-Based Abrasives","Materials","","","10.3390/ma15217525","","Ceria-based abrasives are widely used in precision chemical mechanical polishing (CMP) fields, such as thin film transistor liquid crystal display (TFT-LCD) glass substrates and integrated circuits, because of their excellent physicochemical properties. Rare earth carbonates, as precursors of ceria-based abrasives, directly affect the morphology of ceria-based abrasives, which, in turn, affects the material removal rate (MRR) and the surface roughness (Ra) after polishing. Herein, rare earth carbonates with different morphologies were obtained by adjusting reaction parameters during precipitation, including flake, spindle, and spheroid. Moreover, the phase of precursors was analyzed, and the evolution process of morphology from precursors to ceria-based abrasives was investigated. Furthermore, the effect of precursors on the polishing performance of ceria-based abrasives was explored. The results show that the primary particles of ceria-based abrasives are near-spherical, but the morphology and dispersion of the secondary particles are obviously inherited from precursors. Among them, near-spherical ceria-based abrasives prepared by nearly monodisperse near-spherical precursors show better uniformity and higher dispersion, and they not only achieve the lowest Ra but also obtain a higher MRR of 555 nm/min (9 wt.%) for polishing TFT-LCD glass substrates. The result is significant for the further optimization and application of high-performance ceria-based abrasives.","2022-10-27","2024-03-12 02:51:13","2024-07-01 23:10:17","","7525-7525","","21","15","","","","","","","","","","","","","","","","","DOI: 10.3390/ma15217525 MAG ID: 4307634458 PMID: 36363118","","/Users/school/Zotero/storage/UV9D6DIF/Yuanyuan Zheng et al_2022_The Effects of Precursors on the Morphology and Chemical Mechanical Polishing.pdf","","synthesis; Exported; Highlighted_box","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9UUE77Q9","journalArticle","","Janos, P; PETRlkK, M","Preparation of ceria-based polishing powders from carbonates","","","","","","","","2024-03-12 02:56:14","2024-07-02 00:50:54","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/school/Zotero/storage/MZFMBWKL/Janos and PETRlkK - Preparation of ceria-based polishing powders from .pdf","","synthesis; Exported; Highlighted_box","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H72X5QKH","journalArticle","2004","Kim, Sang-Kyun; Yoon, Phil-Won; Paik, Ungyu; Katoh, Takeo; Park, Jea-Gun","Influence of Physical Characteristics of Ceria Particles on Polishing Rate of Chemical Mechanical Planarization for Shallow Trench Isolation","Japanese Journal of Applied Physics","","0021-4922, 1347-4065","10.1143/JJAP.43.7427","https://iopscience.iop.org/article/10.1143/JJAP.43.7427","","2004-11-10","2024-03-12 03:00:36","2024-07-01 23:10:17","2024-03-12 03:00:36","7427-7433","","11A","43","","Jpn. J. Appl. Phys.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/school/Zotero/storage/XTBT6FKL/Kim et al. - 2004 - Influence of Physical Characteristics of Ceria Par.pdf","","synthesis; Exported; Highlighted_box","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A6N7DWDX","journalArticle","2011","Oh, Myoung-Hwan; Nho, Jun-Seok; Cho, Seung-Beom; Lee, Jae-Seok; Singh, Rajiv K.","Polishing behaviors of ceria abrasives on silicon dioxide and silicon nitride CMP","Powder Technology","","00325910","10.1016/j.powtec.2010.09.025","https://linkinghub.elsevier.com/retrieve/pii/S0032591010005115","The effects of ceria (CeO2) abrasives in chemical mechanical polishing (CMP) slurries were investigated on silicon dioxide (SiO2) and silicon nitride (Si3N4) polishing process. The ceria abrasives were prepared by the ﬂux method, using potassium hydroxide (KOH) as the grain growth accelerator. The primary particle size of the ceria abrasives was controlled in the range of ~ 84–417 nm by changing the concentration of potassium hydroxide and the calcination temperature without mechanical milling process. The removal rate of silicon dioxide ﬁlm strongly depended upon abrasive size up to an optimum abrasive size (295 nm) after CMP process. However, the surface uniformity deteriorated as abrasive size increases. The observed polishing results conﬁrmed that there exists an optimum abrasive size (295 nm) for maximum removal selectivity between oxide and nitride ﬁlms. In this study, polishing behaviors of the ceria abrasives were discussed in terms of morphological characteristics.","2011-01","2024-03-12 03:03:13","2024-07-01 23:10:17","2024-03-12 03:03:13","239-245","","3","206","","Powder Technology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/school/Zotero/storage/35GCIGG8/Oh et al. - 2011 - Polishing behaviors of ceria abrasives on silicon .pdf","","synthesis; Exported; Highlighted_box","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"878D3K8I","journalArticle","2023","Wang, Zhenyang; Wang, Tongqing; Zhang, Lifei; Lu, Xinchun","Synthesis of CeO2 Nanoparticles Derived by Urea Condensation for Chemical Mechanical Polishing","Electronic Materials Letters","","1738-8090, 2093-6788","10.1007/s13391-023-00427-2","https://link.springer.com/10.1007/s13391-023-00427-2","The synthesis of C­ eO2 nanoparticles for C­ eO2 based slurry gains continuous emphasis on improving its performance in the chemical mechanical polishing of dielectric materials. Urea was selected to dominate the growth and morphology during the calcination process. Thermogravimetry experiments were used to analyze the the decomposition behavior. Particle morphology and size were analyzed. Crystalline phase information and surface valence were used to compare the differences in surface physical and chemical properties of ceria by different synthesis process. The C­ eO2 nanoparticles synthesized with urea were dispersed in water as slurry. The particle sizes of C­ eO2 were measured by dynamic light scattering. The Zeta potential of ­CeO2 dispersion were measured to show dispersing performance. The ­CeO2 nanoparticles synthesized with urea condensation show good monodisperse properties. The material removal rate of silicon oxide and surface quality after chemical mechanical polishing were selected to evaluate the chemical mechanical polishing performance. The ­CeO2 nanoparticles synthesized with urea condensation not only yielded better surface quality results than the commercial slurry but also showed a 153% (pH = 4) and 100% (pH = 10) increase in the material removal rate of silicon oxide compared to commercial.","2023-11","2024-03-12 03:10:04","2024-07-01 23:10:52","2024-03-12 03:10:04","580-587","","6","19","","Electron. Mater. Lett.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/school/Zotero/storage/HKJ5PQTW/Wang et al. - 2023 - Synthesis of CeO2 Nanoparticles Derived by Urea Co.pdf","","synthesis; Exported; Highlighted_box","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KP98W9L7","journalArticle","2012","He, Hong-Wei; Wu, Xiao-Qing; Ren, Wei; Shi, Peng; Yao, Xi; Song, Zhi-Tang","Synthesis of crystalline cerium dioxide hydrosol by a sol–gel method","Ceramics International","","02728842","10.1016/j.ceramint.2011.05.063","https://linkinghub.elsevier.com/retrieve/pii/S0272884211004354","A nano-cerium dioxide hydrosol was synthesized via a sol–gel process at the range of room temperature to 65 8C with the nonionic surfactant PVP (polyvinylpyrrolidone). The mixture solution of cerium nitrate and urea turned out a visible chemical reaction under the catalysis of ammonia. The X-ray diffraction (XRD), transmission electron microscopy (TEM), and X-ray photoelectron spectroscopy (XPS) analyses indicated the colloidal ingredient and nano-crystal structural information. The colloid was crystalline face-centered cubic nano-structured cerium dioxide. The sizes of CeO2 colloids are in the range of several nanometers to 10 nm or more. The application of the hydrosol may focus on the ceria-based polishing agent for chemical mechanical polishing (CMP) process.","2012-01","2024-03-12 03:24:10","2024-07-01 23:10:52","2024-03-12 03:24:10","S501-S504","","","38","","Ceramics International","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/school/Zotero/storage/N7N55JJV/He et al. - 2012 - Synthesis of crystalline cerium dioxide hydrosol b.pdf","","synthesis; Exported; Highlighted_box","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMKCR3H2","journalArticle","2023","Xu, Ning; Ma, Jiahui; Liu, Qi; Luo, Yuxin; Pu, Yongping","Preparation of CeO2 abrasives by reducing atmosphere-assisted molten salt method for enhancing their chemical mechanical polishing performance on SiO2 substrates","Journal of Rare Earths","","10020721","10.1016/j.jre.2022.10.011","https://linkinghub.elsevier.com/retrieve/pii/S100207212200312X","Ce3þ as the active site on the CeO2 abrasive surface is the key to enhancing the material removal rate (MRR). The CeO2 abrasives with high chemical activity were prepared by the molten salt method under a reducing atmosphere. The crystal structure and morphology of CeO2 abrasives were characterized by X-ray diffraction (XRD), scanning electron microscopy (SEM), transmission electron microscopy (TEM), Fourier transform infrared spectroscopy (FT-IR), ultravioletevisible diffuse reﬂectance spectroscopy (UVeVis DRS), and X-ray photoelectron spectroscopy (XPS). The CeO2 abrasives were obtained under different atmospheres (Air, Ar, and Ar/H2). With the enhancement of the reducing atmosphere, the morphology of the abrasives transforms from spherical to octahedral, while more oxygen vacancies and Ce3þ are generated on the surface of CeO2 abrasives. The CMP experiments show that the MRRs of the CeO2-Air, CeO2-Ar, and CeO2-Ar/H2 abrasives on SiO2 substrates are 337.60, 578.74, and 691.28 nm/min, respectively. Moreover, as conﬁrmed by atomic force microscopy (AFM), the substrate surfaces exhibit low roughness (~0.5 nm) after being polished using all of the prepared samples. Especially, the MRR of CeO2-Ar/H2 abrasives is increased by 104.76% compared with CeO2-air abrasives. The improved CMP performance is attributed to the increased Ce3þ concentration and the octahedral morphology of the abrasives enhancing the chemical reaction and mechanical removal at the abrasiveesubstrate interface.","2023-10","2024-03-12 03:29:55","2024-07-28 23:08:10","2024-03-12 03:29:55","1627-1635","","10","41","","Journal of Rare Earths","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/school/Zotero/storage/PRWQALZD/Xu et al. - 2023 - Preparation of CeO2 abrasives by reducing atmosphe.pdf","","synthesis; Exported; Highlighted_box","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFTFYEKU","journalArticle","2004","Kang, Hyun-Goo; Katoh, Takeo; Kim, Sung-Jun; Paik, Ungyu; Park, Hyung-Soon; Park, Jea-Gun","Effects of Grain Size and Abrasive Size of Polycrystalline Nano-particle Ceria Slurry on Shallow Trench Isolation Chemical Mechanical Polishing","Japanese Journal of Applied Physics","","0021-4922","10.1143/JJAP.43.L365","https://iopscience.iop.org/article/10.1143/JJAP.43.L365","","2004-02-20","2024-03-12 03:35:23","2024-07-02 00:14:16","2024-03-12 03:35:23","L365-L368","","No. 3A","43","","Jpn. J. Appl. Phys.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/school/Zotero/storage/CP35U8UK/Kang et al. - 2004 - Effects of Grain Size and Abrasive Size of Polycry.pdf","","synthesis; Exported; Highlighted_box; Solid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
